,Artist,Song_Count,First_Year,Last_Year,Career_Span
0,  the mysterians,1,1966,1966,1
1,100 proof aged in soul,1,1970,1970,1
2,10000 maniacs,1,1994,1994,1
3,10cc,2,1975,1977,3
4,112,3,1997,2001,5
5,112 featuring foxy brown,1,2005,2005,1
6,112 featuring lil zane,1,1999,1999,1
7,112 featuring the notorious big and mase,1,1996,1996,1
8,1910 fruitgum company,3,1968,1969,2
9,2 chainz,1,2013,2013,1
10,2 chainz featuring drake,1,2012,2012,1
11,2 pistols featuring tpain and tay dizm,1,2008,2008,1
12,20 fingers featuring gillette,1,1995,1995,1
13,2pac,4,1993,2003,11
14,2pac featuring eric williams,1,1998,1998,1
15,2pac featuring kci  jojo  featuring dr dre,1,1996,1996,1
16,3 doors down,8,2000,2008,9
17,38 special,2,1982,1989,8
18,3lw,1,2001,2001,1
19,3oh3,1,2009,2009,1
20,3oh3 featuring keha,1,2010,2010,1
21,3t,1,1996,1996,1
22,4 non blondes,1,1993,1993,1
23,4:00 PM,1,1995,1995,1
24,5 seconds of summer,2,2014,2014,1
25,50 cent,5,2003,2005,3
26,50 cent featuring justin timberlake and timbaland,1,2007,2007,1
27,50 cent featuring mobb deep,1,2005,2005,1
28,50 cent featuring nate dogg,1,2003,2003,1
29,50 cent featuring olivia,1,2005,2005,1
30,69 boyz,2,1994,1995,2
31,702,2,1997,1999,3
32,8th day,1,1971,1971,1
33,95 south,1,1993,1993,1
34,98 degrees,6,1997,2000,4
35,a flock of seagulls,1,1982,1982,1
36,a great big world and christina aguilera,1,2014,2014,1
37,a taste of honey,2,1978,1981,4
38,aaliyah,11,1994,2003,10
39,aaron hall,1,1994,1994,1
40,aaron neville,2,1967,1991,25
41,abba,6,1974,1981,8
42,abc,2,1985,1987,3
43,ace,1,1975,1975,1
44,ace frehley,1,1979,1979,1
45,ace hood featuring future and rick ross,1,2013,2013,1
46,ace of base,6,1993,1998,6
47,adam ant,1,1983,1983,1
48,adam clayton and larry mullen,1,1996,1996,1
49,adam lambert,1,2010,2010,1
50,adele,7,2011,2015,5
51,adina howard,1,1995,1995,1
52,aerosmith,12,1976,2001,26
53,after 7,3,1990,1995,6
54,after the fire,1,1983,1983,1
55,aha,1,1985,1985,1
56,ahmad,1,1994,1994,1
57,air supply,8,1980,1983,4
58,akon,3,2005,2009,5
59,akon featuring colby odonis and kardinal offishall,1,2009,2009,1
60,akon featuring eminem,2,2006,2007,2
61,akon featuring snoop dogg,1,2007,2007,1
62,akon featuring styles p,1,2004,2004,1
63,al b sure,1,1988,1988,1
64,al green,6,1971,1975,5
65,al stewart,2,1977,1979,3
66,al wilson,1,1974,1974,1
67,alabama,2,1981,1982,2
68,alabama and n sync,1,1999,1999,1
69,alan jackson,3,2002,2004,3
70,alan jackson featuring jimmy buffett,1,2003,2003,1
71,alan oday,1,1977,1977,1
72,alanis morissette,3,1996,2002,7
73,alannah myles,1,1990,1990,1
74,albert hammond,1,1973,1973,1
75,alessia cara,1,2015,2015,1
76,alex clare,1,2012,2012,1
77,alice cooper,6,1972,1989,18
78,alice deejay,1,2000,2000,1
79,alicia bridges,2,1978,1979,2
80,alicia keys,11,2001,2013,13
81,alicia keys featuring tony toni tone,1,2004,2004,1
82,alive n kickin,1,1970,1970,1
83,all saints,1,1998,1998,1
84,all4one,3,1994,1995,2
85,allen kriskris allen,1,2010,2010,1
86,allure featuring 112,2,1997,1998,2
87,aloe blacc,1,2014,2014,1
88,amanda perez,1,2003,2003,1
89,amazing rhythm aces,1,1975,1975,1
90,amber,1,1996,1996,1
91,ambrosia,2,1979,1980,2
92,ame lorain,1,1990,1990,1
93,america,4,1972,1982,11
94,american authors,1,2014,2014,1
95,amerie,1,2005,2005,1
96,amii stewart,1,1979,1979,1
97,amy grant,5,1991,1992,2
98,amy winehouse,1,2007,2007,1
99,andrea true connection,1,1976,1976,1
100,andrew gold,1,1977,1977,1
101,andy gibb,7,1977,1981,5
102,andy grammer,1,2015,2015,1
103,andy kim,2,1969,1974,6
104,andy williams,1,1971,1971,1
105,angie martinez featuring lil mo and sacario,1,2002,2002,1
106,animotion,1,1985,1985,1
107,anita baker,2,1986,1989,4
108,anita ward,1,1979,1979,1
109,ann wilson and robin zander,1,1989,1989,1
110,anna kendrick,1,2013,2013,1
111,anne murray,8,1970,1980,11
112,annie lennox,1,1995,1995,1
113,another bad creation,1,1991,1991,1
114,apollo 100,1,1972,1972,1
115,aqua,1,1997,1997,1
116,arcadia,1,1986,1986,1
117,archie bell  the drells,1,1968,1968,1
118,aretha franklin,14,1967,1998,32
119,aretha franklin and george michael,1,1987,1987,1
120,argent,1,1972,1972,1
121,ariana grande,1,2015,2015,1
122,ariana grande and the weeknd,1,2015,2015,1
123,ariana grande featuring iggy azalea,1,2014,2014,1
124,ariana grande featuring mac miller,1,2013,2013,1
125,ariana grande featuring zedd,1,2014,2014,1
126,arlo guthrie,1,1972,1972,1
127,arrested development,3,1992,1993,2
128,arthur conley,1,1967,1967,1
129,asap rocky featuring drake 2 chainz and kendrick lamar,1,2013,2013,1
130,ashanti,5,2002,2003,2
131,asher roth,1,2009,2009,1
132,ashford  simpson,1,1985,1985,1
133,ashlee simpson,1,2004,2004,1
134,asia,2,1982,1983,2
135,atlanta rhythm section,2,1977,1978,2
136,atlantic starr,3,1986,1992,7
137,audioslave,1,2003,2003,1
138,avant,1,2000,2000,1
139,avant featuring snoop dogg,1,2004,2004,1
140,average white band,2,1975,1975,1
141,avicii,3,2013,2014,2
142,avril lavigne,8,2002,2011,10
143,awolnation,1,2013,2013,1
144,az,1,1995,1995,1
145,az yet,2,1996,1997,2
146,az yet featuring peter cetera,1,1997,1997,1
147,b2k,1,2002,2002,1
148,b2k and p diddy,1,2003,2003,1
149,baauer,1,2013,2013,1
150,baby bash featuring akon,1,2005,2005,1
151,baby bash featuring frankie j,2,2003,2004,2
152,baby bash featuring tpain,2,2007,2008,2
153,baby boy da prince,1,2007,2007,1
154,babyface,6,1989,1997,9
155,bachmanturner overdrive,2,1974,1975,2
156,backstreet boys,7,1997,2005,9
157,bad company,2,1975,1979,5
158,bad english,2,1989,1990,2
159,bad meets evil featuring bruno mars,1,2011,2011,1
160,badfinger,2,1970,1972,3
161,baltimora,1,1986,1986,1
162,bananarama,3,1984,1987,4
163,barbara lewis,1,1965,1965,1
164,barbara mason,1,1965,1965,1
165,barbra streisand,6,1974,1982,9
166,barbra streisand  barry gibb,2,1981,1981,1
167,barbra streisand  donna summer,1,1980,1980,1
168,barbra streisand and bryan adams,1,1997,1997,1
169,barenaked ladies,1,1998,1998,1
170,barry manilow,11,1975,1981,7
171,barry mcguire,1,1965,1965,1
172,barry white,3,1973,1975,3
173,bastille,1,2014,2014,1
174,bay city rollers,3,1976,1977,2
175,bazuka,1,1975,1975,1
176,bb king,1,1970,1970,1
177,bbmak,1,2000,2000,1
178,beastie boys,1,1987,1987,1
179,beck,1,1994,1994,1
180,becky g,1,2014,2014,1
181,bee gees,12,1971,1979,9
182,beenie man,1,2004,2004,1
183,belinda carlisle,3,1986,1988,3
184,bell biv devoe,2,1990,1990,1
185,ben e king,1,1987,1987,1
186,benny mardones,1,1980,1980,1
187,berlin,1,1986,1986,1
188,bert kaempfert,1,1965,1965,1
189,bertie higgins,1,1982,1982,1
190,bette midler,5,1973,1991,19
191,better than ezra,1,1995,1995,1
192,betty wright,1,1972,1972,1
193,beverly bremers,1,1972,1972,1
194,beyonce,12,2004,2015,12
195,beyonce featuring jay z,1,2014,2014,1
196,beyonce featuring jayz,2,2003,2006,4
197,beyonce featuring sean paul,2,2003,2004,2
198,beyonce featuring shakira,1,2007,2007,1
199,beyonce featuring slim thug,1,2006,2006,1
200,big brother and the holding company,1,1968,1968,1
201,big mountain,1,1994,1994,1
202,big pun featuring joe,1,1998,1998,1
203,big sean featuring chris brown,1,2011,2011,1
204,big sean featuring drake,1,2015,2015,1
205,big sean featuring e40,1,2015,2015,1
206,big sean featuring nicki minaj,1,2012,2012,1
207,big tymers,1,2002,2002,1
208,bill conti deetta little and nelson pigford,1,1977,1977,1
209,bill cosby,1,1967,1967,1
210,bill medley and jennifer warnes,1,1987,1987,1
211,bill withers,3,1971,1972,2
212,billie myers,1,1998,1998,1
213,billy currington,1,2009,2009,1
214,billy idol,5,1982,1990,9
215,billy joe royal,1,1965,1965,1
216,billy joel,12,1978,1993,16
217,billy ocean,6,1984,1988,5
218,billy paul,1,1973,1973,1
219,billy preston,3,1972,1974,3
220,billy preston and syreeta,1,1980,1980,1
221,billy ray cyrus,1,1992,1992,1
222,billy squier,2,1981,1984,4
223,billy swan,1,1975,1975,1
224,billy vera and the beaters,1,1987,1987,1
225,biz markie,1,1990,1990,1
226,bj thomas,6,1966,1977,12
227,black box,2,1990,1991,2
228,blackstreet,1,1995,1995,1
229,blackstreet featuring dr dre,2,1996,1997,2
230,blackstreet featuring m'ya mase and blinky blink,1,1999,1999,1
231,blake shelton,4,2001,2013,13
232,blake shelton featuring pistol annies and friends,1,2013,2013,1
233,blaque,2,1999,2000,2
234,blessid union of souls,1,1995,1995,1
235,blink 182,1,2000,2000,1
236,blondie,4,1979,1981,3
237,blood sweat  tears,2,1969,1969,1
238,bloodstone,1,1973,1973,1
239,blu cantrell,1,2001,2001,1
240,blue cheer,1,1968,1968,1
241,blue magic,1,1974,1974,1
242,blue october,1,2006,2006,1
243,blue ridge rangers,1,1973,1973,1
244,blue swede,1,1974,1974,1
245,blues image,1,1970,1970,1
246,blues magoos,1,1967,1967,1
247,blues traveler,2,1995,1996,2
248,bo donaldson and the heywoods,1,1974,1974,1
249,bob,1,2012,2012,1
250,bob dylan,3,1965,1969,5
251,bob featuring bruno mars,1,2010,2010,1
252,bob featuring hayley williams,1,2010,2010,1
253,bob featuring rivers cuomo,1,2010,2010,1
254,bob lind,1,1966,1966,1
255,bob seger,2,1980,1987,8
256,bob seger  the silver bullet band,5,1977,1983,7
257,bob seger and the silver bullet band,1,1980,1980,1
258,bob seger system,1,1969,1969,1
259,bob welch,2,1978,1978,1
260,bobbi martin,1,1970,1970,1
261,bobbie gentry,1,1967,1967,1
262,bobby boris pickett and the cryptkickers,1,1973,1973,1
263,bobby brown,8,1988,1993,6
264,bobby caldwell,1,1979,1979,1
265,bobby darin,1,1966,1966,1
266,bobby fuller four,1,1966,1966,1
267,bobby goldsboro,3,1965,1971,7
268,bobby hebb,1,1966,1966,1
269,bobby mcferrin,1,1988,1988,1
270,bobby sherman,3,1969,1970,2
271,bobby shmurda,1,2014,2014,1
272,bobby valentino,1,2005,2005,1
273,bobby vee,1,1967,1967,1
274,bobby vinton,2,1967,1972,6
275,bobby womack,1,1974,1974,1
276,bodeans,1,1996,1996,1
277,bon jovi,11,1986,1995,10
278,bon jovi featuring jennifer nettles,1,2006,2006,1
279,bone thugsnharmony,3,1995,1997,3
280,bone thugsnharmony featuring akon,1,2007,2007,1
281,bonnie pointer,1,1979,1979,1
282,bonnie raitt,3,1991,1994,4
283,bonnie tyler,2,1978,1983,6
284,booker t  the mgs,3,1967,1969,3
285,boston,2,1978,1986,9
286,bow wow featuring chris brown and johnt'a austin,1,2007,2007,1
287,bow wow featuring ciara,1,2005,2005,1
288,bow wow featuring omarion,1,2005,2005,1
289,bow wow featuring tpain and johnt'a austin,1,2007,2007,1
290,boy krazy,1,1993,1993,1
291,boy meets girl,1,1989,1989,1
292,boys club,1,1989,1989,1
293,boys like girls,2,2007,2009,3
294,boys like girls featuring taylor swift,1,2010,2010,1
295,boyz ii men,13,1991,1998,8
296,boz scaggs,5,1976,1981,6
297,brad paisley,1,2009,2009,1
298,brad paisley and carrie underwood,1,2011,2011,1
299,brandy,9,1994,2002,9
300,brandy and monica,1,1998,1998,1
301,brandy featuring wanya morris,1,1995,1995,1
302,brantley gilbert,1,2014,2014,1
303,bread,4,1970,1977,8
304,breakfast club,1,1987,1987,1
305,breathe,2,1988,1989,2
306,brenda  the tabulations,1,1971,1971,1
307,brenda k starr,1,1988,1988,1
308,brenda lee,2,1965,1966,2
309,brenda russell featuring joe esposito,1,1988,1988,1
310,brenton wood,1,1967,1967,1
311,brewer  shipley,1,1971,1971,1
312,brian mcknight,3,1993,2000,8
313,brian mcknight featuring mase,1,1997,1997,1
314,brick,1,1977,1977,1
315,britney spears,16,1999,2011,13
316,brock and the bizz,1,1997,1997,1
317,brook benton,1,1970,1970,1
318,brooke valentine featuring lil jon and big boi,1,2005,2005,1
319,brooks  dunn,2,2001,2003,3
320,brownstone,1,1995,1995,1
321,brownsville station,1,1974,1974,1
322,bruce hornsby and the range,3,1987,1988,2
323,bruce springsteen,9,1981,1997,17
324,bruce willis,1,1987,1987,1
325,bruno mars,8,2010,2013,4
326,bryan adams,11,1983,1995,13
327,bryan adams rod stewart and sting,1,1994,1994,1
328,bt express,2,1975,1975,1
329,bubba sparxxx featuring ying yang twins,1,2006,2006,1
330,buckcherry,1,2008,2008,1
331,buckner  garcia,1,1982,1982,1
332,buffalo springfield,1,1967,1967,1
333,burton cummings,1,1977,1977,1
334,busta rhymes,4,1996,2006,11
335,busta rhymes and mariah carey featuring flipmode squad,1,2003,2003,1
336,busta rhymes featuring janet,1,1999,1999,1
337,busta rhymes featuring p diddy and pharrell,1,2002,2002,1
338,bw stevenson,1,1973,1973,1
339,c w mccall,1,1976,1976,1
340,cah out,1,2012,2012,1
341,cali swag district,1,2010,2010,1
342,calloway,1,1990,1990,1
343,calvin harris,2,2012,2014,3
344,calvin harris and disciples,1,2015,2015,1
345,calvin harris featuring ellie goulding,1,2013,2013,1
346,calvin harris featuring florence welch,1,2013,2013,1
347,calvin harris featuring neyo,1,2012,2012,1
348,cameo,1,1986,1986,1
349,camron featuring juelz santana,1,2002,2002,1
350,camron featuring juelz santana and freekey zekey,1,2002,2002,1
351,candi staton,1,1976,1976,1
352,candlebox,1,1994,1994,1
353,capital cities,1,2013,2013,1
354,captain  tennille,5,1975,1980,6
355,captain hollywood project,1,1993,1993,1
356,carl douglas,1,1975,1975,1
357,carl thomas,1,2000,2000,1
358,carla thomas,1,1966,1966,1
359,carly rae jepsen,1,2012,2012,1
360,carly simon,5,1971,1978,8
361,carly simon  james taylor,1,1974,1974,1
362,carol douglas,1,1975,1975,1
363,carole king,2,1971,1980,10
364,carrie underwood,6,2005,2012,8
365,cascada,1,2006,2006,1
366,case,2,1999,2001,3
367,case featuring foxy brown,1,1996,1996,1
368,case featuring joe,1,1999,1999,1
369,cassidy featuring r kelly,1,2004,2004,1
370,cassie,1,2006,2006,1
371,cat stevens,3,1971,1974,4
372,cathy dennis,3,1991,1991,1
373,cc music factory,3,1991,1991,1
374,cece peniston,3,1992,1992,1
375,cee lo green,1,2011,2011,1
376,celine dion,10,1991,2002,12
377,celine dion and peabo bryson,1,1992,1992,1
378,chad brock,1,2000,2000,1
379,chad kroeger featuring josey scott,1,2002,2002,1
380,chairmen of the board,1,1970,1970,1
381,chaka khan,1,1985,1985,1
382,chamillionaire featuring krayzie bone,1,2006,2006,1
383,champaign,2,1981,1983,3
384,changing faces,2,1994,1997,4
385,chante moore,1,1999,1999,1
386,charlene,1,1982,1982,1
387,charles  eddie,1,1992,1992,1
388,charles wright  the watts 103rd street rhythm band,2,1970,1970,1
389,charley pride,1,1972,1972,1
390,charli xcx,1,2014,2014,1
391,charlie daniels band,1,1980,1980,1
392,charlie dore,1,1980,1980,1
393,charlie puth featuring meghan trainor,1,2015,2015,1
394,charlie rich,3,1973,1974,2
395,cheap trick,3,1979,1988,10
396,checkmates ltd,1,1969,1969,1
397,cher,11,1965,1999,35
398,cher and peter cetera,1,1989,1989,1
399,cher lloyd,1,2012,2012,1
400,cherish featuring sean p,1,2006,2006,1
401,cheryl lynn,1,1979,1979,1
402,chesney hawkes,1,1991,1991,1
403,chic,4,1978,1979,2
404,chicago,15,1970,1990,21
405,chingy,1,2003,2003,1
406,chingy featuring jweav,1,2004,2004,1
407,chingy featuring ludacris and snoop dogg,2,2003,2004,2
408,chingy featuring tyrese,1,2006,2006,1
409,chris brown,8,2006,2012,7
410,chris brown and tyga,1,2015,2015,1
411,chris brown featuring juelz santana,2,2005,2006,2
412,chris brown featuring lil wayne,1,2006,2006,1
413,chris brown featuring lil wayne and busta rhymes,1,2011,2011,1
414,chris brown featuring lil wayne and french montana too short or tyga,1,2014,2014,1
415,chris brown featuring tpain,2,2007,2008,2
416,chris brown featuring tyga and kevin mccall,1,2010,2010,1
417,chris brown featuring usher and rick ross,1,2014,2014,1
418,chris de burgh,1,1987,1987,1
419,chris isaak,1,1991,1991,1
420,chris montez,1,1966,1966,1
421,chris rea,1,1978,1978,1
422,christie,1,1970,1970,1
423,christina aguilera,7,1999,2006,8
424,christina aguilera featuring lil kim,1,2003,2003,1
425,christina aguilera lil kim m'ya and pink,1,2001,2001,1
426,christina milian,1,2004,2004,1
427,christina perri,2,2011,2012,2
428,christine mcvie,1,1984,1984,1
429,christopher cross,6,1980,1984,5
430,chuck berry,1,1972,1972,1
431,chuck mangione,1,1978,1978,1
432,chumbawamba,2,1997,1998,2
433,ciara,3,2007,2013,7
434,ciara and missy elliott,1,2005,2005,1
435,ciara featuring chamillionaire,1,2006,2006,1
436,ciara featuring ludacris,1,2005,2005,1
437,ciara featuring petey pablo,1,2004,2004,1
438,citizen king,1,1999,1999,1
439,city high,1,2001,2001,1
440,city high featuring eve,1,2002,2002,1
441,cj  company,1,1977,1977,1
442,clarence carter,2,1968,1970,3
443,classics iv,2,1968,1969,2
444,clay aiken,1,2003,2003,1
445,clean bandit featuring jess glynne,1,2014,2014,1
446,cliff nobles,1,1968,1968,1
447,cliff richard,3,1976,1981,6
448,climax,1,1972,1972,1
449,climax blues band,2,1977,1981,5
450,clint holmes,1,1973,1973,1
451,club nouveau,1,1987,1987,1
452,cobra starship featuring leighton meester,1,2009,2009,1
453,cobra starship featuring sabi,1,2011,2011,1
454,colbie caillat,4,2007,2009,3
455,colby odonis featuring akon,1,2008,2008,1
456,coldplay,6,2003,2014,12
457,collective soul,3,1994,1996,3
458,color me badd,6,1991,1996,6
459,commander cody and his lost planet airmen,1,1972,1972,1
460,commodores,8,1976,1985,10
461,coolio,2,1994,1996,3
462,coolio featuring 40 thevz,1,1997,1997,1
463,coolio featuring lv,2,1995,1996,2
464,corey hart,2,1984,1985,2
465,corina,1,1991,1991,1
466,cornelius brothers  sister rose,2,1971,1972,2
467,corona,1,1995,1995,1
468,count five,1,1966,1966,1
469,craig david,2,2001,2002,2
470,craig mack,1,1994,1994,1
471,crash test dummies,1,1994,1994,1
472,crazy elephant,1,1969,1969,1
473,crazy town,1,2001,2001,1
474,cream,2,1968,1968,1
475,creed,6,1999,2002,4
476,creedence clearwater revival,7,1968,1970,3
477,crime mob and lil scrappy,1,2007,2007,1
478,crispian st peters,1,1966,1966,1
479,crosby stills  nash,2,1977,1982,6
480,crosby stills nash  young,1,1970,1970,1
481,crowded house,2,1987,1987,1
482,crucial conflict,1,1996,1996,1
483,crystal gayle,1,1978,1978,1
484,crystal waters,2,1994,1995,2
485,culture beat,1,1994,1994,1
486,culture club,6,1983,1984,2
487,curtis mayfield,2,1972,1973,2
488,cutting crew,2,1987,1987,1
489,cyndi lauper,6,1984,1987,4
490,cypress hill,1,1993,1993,1
491,d mob featuring cathy dennis,1,1990,1990,1
492,d12,1,2004,2004,1
493,d4l,1,2006,2006,1
494,da brat,2,1994,1995,2
495,da brat featuring tyrese,1,2000,2000,1
496,daddy dewdrop,1,1971,1971,1
497,daddy yankee,1,2006,2006,1
498,daft punk featuring pharrell williams,1,2013,2013,1
499,damn yankees,1,1991,1991,1
500,dan fogelberg,3,1980,1982,3
501,dan hartman,1,1984,1984,1
502,dan hill,1,1978,1978,1
503,dan hill featuring vonda shepard,1,1987,1987,1
504,dangelo,2,1995,1996,2
505,daniel bedingfield,2,2002,2003,2
506,daniel boone,1,1972,1972,1
507,daniel powter,1,2006,2006,1
508,danity kane,1,2008,2008,1
509,danity kane featuring yung joc,1,2006,2006,1
510,darius rucker,1,2013,2013,1
511,darryl worley,1,2003,2003,1
512,daryl hall,1,1986,1986,1
513,daryl hall  john oates,11,1982,1988,7
514,das efx,1,1992,1992,1
515,daughtry,5,2007,2010,4
516,dave edmunds,1,1971,1971,1
517,dave loggins,1,1974,1974,1
518,dave matthews band,1,2001,2001,1
519,david archuleta,1,2008,2008,1
520,david banner,1,2005,2005,1
521,david banner featuring chris brown,1,2008,2008,1
522,david bowie,5,1973,1983,11
523,david cook,1,2008,2008,1
524,david essex,1,1974,1974,1
525,david gates,1,1978,1978,1
526,david guetta featuring akon,1,2010,2010,1
527,david guetta featuring flo rida and nicki minaj,1,2011,2011,1
528,david guetta featuring nicki minaj,1,2012,2012,1
529,david guetta featuring nicki minaj bebe rexha and afrojack,1,2015,2015,1
530,david guetta featuring sia,1,2012,2012,1
531,david guetta featuring usher,2,2011,2012,2
532,david houston,1,1966,1966,1
533,david lee roth,2,1985,1988,4
534,david naughton,1,1979,1979,1
535,david ruffin,2,1969,1976,8
536,david soul,1,1977,1977,1
537,dawn,1,1970,1970,1
538,dazz band,1,1982,1982,1
539,dean friedman,1,1977,1977,1
540,debarge,4,1983,1985,3
541,debbie gibson,5,1987,1989,3
542,debby boone,1,1978,1978,1
543,debelah morgan,2,2000,2001,2
544,deborah cox,3,1996,1999,4
545,deeelite,1,1991,1991,1
546,deep blue something,1,1996,1996,1
547,deep purple,1,1973,1973,1
548,def leppard,7,1983,1993,11
549,default,1,2002,2002,1
550,del amitri,1,1995,1995,1
551,del shannon,1,1965,1965,1
552,delaney  bonnie  friends,1,1971,1971,1
553,delbert mcclinton,1,1981,1981,1
554,dem franchize boyz,1,2006,2006,1
555,dem franchize boyz featuring jermaine dupri da brat and bow wow,1,2006,2006,1
556,demi lovato,3,2012,2015,4
557,deniece williams,2,1982,1984,3
558,denise lasalle,1,1971,1971,1
559,dennis coffey,1,1972,1972,1
560,deodato,1,1973,1973,1
561,deon estus,1,1989,1989,1
562,deon jackson,1,1966,1966,1
563,depeche mode,1,1990,1990,1
564,derek and the dominos,1,1972,1972,1
565,desree,1,1995,1995,1
566,destinys child,11,1998,2005,8
567,destinys child featuring ti and lil wayne,1,2005,2005,1
568,dev,1,2011,2011,1
569,devo,1,1981,1981,1
570,dexys midnight runners,1,1983,1983,1
571,dht featuring edmee,1,2005,2005,1
572,diamond rio,1,2001,2001,1
573,diana king,1,1995,1995,1
574,diana ross,11,1970,1985,16
575,diana ross  lionel richie,1,1981,1981,1
576,diana ross  marvin gaye,1,1974,1974,1
577,dickey lee,1,1965,1965,1
578,diddy  dirty money featuring skylar grey,1,2011,2011,1
579,diddy featuring keyshia cole,1,2007,2007,1
580,dido,2,2001,2004,4
581,dierks bentley,2,2003,2014,12
582,digable planets,1,1993,1993,1
583,digital underground,1,1990,1990,1
584,dino,3,1989,1993,5
585,dino desi  billy,1,1965,1965,1
586,dionne and friends dionne warwick gladys knight elton john and stevie wonder,1,1986,1986,1
587,dionne farris,1,1995,1995,1
588,dionne warwick,9,1966,1983,18
589,dionne warwick  the spinners,1,1974,1974,1
590,dire straits,3,1979,1986,8
591,dirty vegas,1,2002,2002,1
592,disclosure featuring sam smith,1,2014,2014,1
593,discotex and the sexolettes,1,1975,1975,1
594,dishwalla,1,1996,1996,1
595,divine,2,1998,1999,2
596,divinyls,1,1991,1991,1
597,dixie chicks,3,2000,2003,4
598,dj jazzy jeff  the fresh prince,2,1991,1993,3
599,dj khaled featuring drake rick ross and lil wayne,1,2011,2011,1
600,dj khaled featuring tpain ludacris snoop dogg and rick ross,1,2010,2010,1
601,dj kool,1,1997,1997,1
602,dj sammy featuring yanou and do,1,2002,2002,1
603,dj snake and alunageorge,1,2015,2015,1
604,dj snake and lil jon,1,2014,2014,1
605,dmx,1,2000,2000,1
606,dna featuring suzanne vega,1,1991,1991,1
607,do or die featuring twista,1,1996,1996,1
608,dobie gray,1,1973,1973,1
609,dolly parton,2,1978,1981,4
610,domino,1,1994,1994,1
611,don henley,4,1983,1989,7
612,don mclean,3,1972,1981,10
613,donell jones,2,2000,2000,1
614,donna fargo,2,1972,1973,2
615,donna lewis,2,1996,1997,2
616,donna summer,10,1976,1989,14
617,donna summer and brooklyn dreams,1,1979,1979,1
618,donny  marie osmond,2,1975,1976,2
619,donny and marie osmond,1,1974,1974,1
620,donny osmond,5,1971,1989,19
621,donovan,3,1966,1969,4
622,dorothy moore,1,1976,1976,1
623,dottie west  kenny rogers,1,1981,1981,1
624,dr buzzards original savannah band,1,1977,1977,1
625,dr dre,2,1993,1995,3
626,dr dre featuring eminem,1,2000,2000,1
627,dr dre featuring eminem and skylar grey,1,2011,2011,1
628,dr dre featuring snoop dogg,1,2000,2000,1
629,dr dre featuring snoop doggy dogg,1,1993,1993,1
630,dr hook,5,1976,1980,5
