,Artist,Song_Count,First_Year,Last_Year,Career_Span
631,dr hook  the medicine show,3,1972,1979,8
632,dr john,1,1973,1973,1
633,drake,8,2009,2015,7
634,drake featuring kanye west lil wayne and eminem,2,2009,2010,2
635,drake featuring lil wayne,1,2012,2012,1
636,drake featuring majid jordan,2,2013,2014,2
637,drake featuring rihanna,1,2012,2012,1
638,dream,1,2001,2001,1
639,dream academy,1,1986,1986,1
640,drs,1,1994,1994,1
641,dru hill,4,1997,1999,3
642,dru hill featuring redman,1,1998,1998,1
643,duice,1,1993,1993,1
644,duncan sheik,1,1997,1997,1
645,duran duran,11,1983,1993,11
646,dusty springfield,1,1966,1966,1
647,dwight twilley band,1,1975,1975,1
648,e40 featuring tpain and kandi girl,1,2006,2006,1
649,eagleeye cherry,1,1999,1999,1
650,eagles,8,1975,1980,6
651,eamon,1,2004,2004,1
652,earth wind  fire,9,1975,1983,9
653,earth wind  fire  the emotions,1,1979,1979,1
654,echosmith,1,2014,2014,1
655,ed ames,1,1967,1967,1
656,ed sheeran,6,2013,2015,3
657,eddie holman,1,1970,1970,1
658,eddie kendricks,3,1973,1975,3
659,eddie money,4,1978,1989,12
660,eddie murphy,1,1986,1986,1
661,eddie rabbitt,4,1979,1981,3
662,eddie rabbitt and crystal gayle,1,1983,1983,1
663,eddy grant,1,1983,1983,1
664,edens crush,1,2001,2001,1
665,edgar winter group,2,1973,1973,1
666,edie brickell  new bohemians,1,1989,1989,1
667,edison lighthouse,1,1970,1970,1
668,edward bear,1,1973,1973,1
669,edward maya featuring vika jigulina,1,2011,2011,1
670,edwin hawkins singers,1,1969,1969,1
671,edwin mccain,1,1998,1998,1
672,edwin starr,2,1969,1970,2
673,eiffel 65,1,2000,2000,1
674,el debarge,1,1986,1986,1
675,electric light orchestra,9,1975,1981,7
676,eli young band,2,2011,2012,2
677,ella henderson,1,2015,2015,1
678,elle king,1,2015,2015,1
679,ellie goulding,3,2012,2015,4
680,elliott yamin,1,2007,2007,1
681,elton john,26,1972,1998,27
682,elton john  kiki dee,1,1976,1976,1
683,elvin bishop,1,1976,1976,1
684,elvis presley,6,1965,1977,13
685,emeli sande,1,2013,2013,1
686,emf,1,1991,1991,1
687,eminem,12,2000,2013,14
688,eminem dr dre and 50 cent,1,2009,2009,1
689,eminem featuring nate dogg,1,2006,2006,1
690,eminem featuring rihanna,2,2010,2014,5
691,en vogue,6,1990,1997,8
692,engelbert humperdinck,2,1967,1977,11
693,england dan  john ford coley,2,1976,1979,4
694,enigma,2,1991,1994,4
695,enrique iglesias,5,1999,2002,4
696,enrique iglesias featuring descemer bueno and gente de zona,1,2014,2014,1
697,enrique iglesias featuring ludacris and dj frank e,1,2011,2011,1
698,enrique iglesias featuring pitbull,1,2010,2010,1
699,enya,1,2001,2001,1
700,erasure,1,1994,1994,1
701,eric benet featuring tamia,1,1999,1999,1
702,eric burdon  war,1,1970,1970,1
703,eric carmen,3,1976,1988,13
704,eric church,1,2012,2012,1
705,eric clapton,8,1974,1997,24
706,eric weissberg  steve mandell,1,1973,1973,1
707,erick sermon featuring marvin gaye,1,2001,2001,1
708,eruption,1,1978,1978,1
709,erykah badu,2,1997,2000,4
710,erykah badu featuring common,1,2003,2003,1
711,estelle featuring kanye west,1,2008,2008,1
712,eternal,1,1994,1994,1
713,europe,1,1987,1987,1
714,eurythmics,3,1983,1985,3
715,evan and jaron,1,2001,2001,1
716,evanescence,2,2004,2006,3
717,evanescence featuring paul mccoy,1,2003,2003,1
718,eve 6,1,2001,2001,1
719,eve featuring alicia keys,1,2002,2002,1
720,eve featuring gwen stefani,1,2001,2001,1
721,evelyn champagne king,1,1978,1978,1
722,everclear,1,2000,2000,1
723,everlast,1,1999,1999,1
724,every mothers son,1,1967,1967,1
725,everything but the girl,1,1996,1996,1
726,exile,1,1978,1978,1
727,expose,6,1987,1993,7
728,extreme,2,1991,1991,1
729,fabolous featuring lil mo and mike shorey,1,2003,2003,1
730,fabolous featuring neyo,1,2007,2007,1
731,fabolous featuring tamia,1,2003,2003,1
732,fabolous featuring thedream,1,2009,2009,1
733,faith evans,4,1995,2002,8
734,faith evans featuring puff daddy,1,1999,1999,1
735,faith hill,6,1998,2005,8
736,faith no more,1,1990,1990,1
737,falco,1,1986,1986,1
738,fall out boy,8,2005,2015,11
739,fancy,1,1974,1974,1
740,fantasia,1,2005,2005,1
741,far east movement featuring ryan tedder,1,2011,2011,1
742,far east movement featuring the cataracs and dev,2,2010,2011,2
743,fastball,1,1999,1999,1
744,fat joe featuring ashanti,1,2002,2002,1
745,fat joe featuring lil wayne,1,2007,2007,1
746,fat joe featuring nelly,1,2005,2005,1
747,fat joe featuring r kelly,1,2002,2002,1
748,fergie,4,2006,2008,3
749,fergie featuring ludacris,1,2007,2007,1
750,fergie featuring william,1,2007,2007,1
751,fetty wap,1,2015,2015,1
752,fetty wap featuring monty,1,2015,2015,1
753,fetty wap featuring remy boyz,1,2015,2015,1
754,field mob,1,2003,2003,1
755,field mob featuring ciara,1,2006,2006,1
756,fifth harmony featuring kid ink,1,2015,2015,1
757,filter,1,2000,2000,1
758,fine young cannibals,2,1989,1989,1
759,finger eleven,3,2004,2008,5
760,firefall,1,1979,1979,1
761,firehouse,3,1991,1995,5
762,five,1,1998,1998,1
763,five americans,1,1967,1967,1
764,five for fighting,2,2002,2004,3
765,five man electrical band,1,1971,1971,1
766,five stairsteps,1,1970,1970,1
767,fleetwood mac,10,1976,1987,12
768,flo rida,4,2009,2013,5
769,flo rida featuring david guetta,1,2010,2010,1
770,flo rida featuring sage the gemini and lookas,1,2015,2015,1
771,flo rida featuring sia,1,2012,2012,1
772,flo rida featuring tpain,1,2008,2008,1
773,flo rida featuring william,1,2008,2008,1
774,flo rida featuring wynter gordon,1,2009,2009,1
775,floetry,1,2003,2003,1
776,florida georgia line,2,2013,2014,2
777,florida georgia line featuring luke bryan,1,2014,2014,1
778,florida georgia line featuring nelly,1,2013,2013,1
779,focus,1,1973,1973,1
780,foghat,1,1976,1976,1
781,foo fighters,1,2005,2005,1
782,force mds,1,1986,1986,1
783,foreigner,9,1977,1988,12
784,fort minor featuring holly brook and jonah matranga,1,2006,2006,1
785,foster the people,1,2011,2011,1
786,four tops,3,1965,1967,3
787,foxy,1,1978,1978,1
788,foxy brown featuring jayz,1,1997,1997,1
789,frank  nancy sinatra,1,1967,1967,1
790,frank mills,1,1979,1979,1
791,frank sinatra,1,1966,1966,1
792,frank stallone,1,1983,1983,1
793,franke and the knockouts,1,1981,1981,1
794,frankie j,1,2003,2003,1
795,frankie j featuring baby bash,1,2005,2005,1
796,frankie valli,4,1967,1978,12
797,freak nasty,1,1997,1997,1
798,freda payne,2,1970,1971,2
799,freddie and the dreamers,1,1965,1965,1
800,freddie hart,1,1971,1971,1
801,freddy fender,2,1975,1975,1
802,free,1,1970,1970,1
803,frida,1,1983,1983,1
804,friend  lover,1,1968,1968,1
805,frijid pink,1,1970,1970,1
806,fuel,1,2001,2001,1
807,fun,3,2012,2013,2
808,fun featuring janelle mon'ae,1,2012,2012,1
809,gabrielle,1,1994,1994,1
810,gallery,1,1972,1972,1
811,gary lewis  the playboys,4,1965,1966,2
812,gary lewis and the playboys,1,1968,1968,1
813,gary numan,1,1980,1980,1
814,gary puckett  the union gap,5,1968,1969,2
815,gary us bonds,1,1981,1981,1
816,gary wright,3,1976,1981,6
817,gavin degraw,4,2005,2012,8
818,gavin rossdale,1,2008,2008,1
819,gene  debbe,1,1968,1968,1
820,gene chandler,1,1970,1970,1
821,general public,1,1994,1994,1
822,genesis,10,1980,1992,13
823,george benson,4,1976,1982,7
824,george duke  stanley clarke,1,1981,1981,1
825,george ezra,1,2015,2015,1
826,george harrison,4,1971,1988,18
827,george mccrae,1,1974,1974,1
828,george michael,11,1986,1996,11
829,george michael and elton john,1,1992,1992,1
830,george strait,3,1999,2002,4
831,georgia satellites,1,1987,1987,1
832,georgie fame,1,1968,1968,1
833,gerald levert,1,1998,1998,1
834,gerardo,1,1991,1991,1
835,gerry and the pacemakers,1,1965,1965,1
836,gerry rafferty,1,1978,1978,1
837,ghost town djs,1,1996,1996,1
838,gilbert osullivan,3,1972,1973,2
839,gin blossoms,3,1993,1996,4
840,gina g,1,1997,1997,1
841,gino vannelli,2,1979,1981,3
842,ginuwine,6,1996,2003,8
843,ginuwine featuring baby,1,2003,2003,1
844,gladys knight  the pips,7,1971,1975,5
845,glass tiger,2,1986,1987,2
846,glen campbell,5,1969,1977,9
847,glenn frey,2,1985,1985,1
848,glenn medeiros,1,1987,1987,1
849,glenn medeiros and bobby brown,1,1990,1990,1
850,glenn yarbrough,1,1965,1965,1
851,gloria estefan,4,1989,1995,7
852,gloria estefan and miami sound machine,4,1987,1988,2
853,gloria gaynor,2,1975,1979,5
854,gloria loring and carl anderson,1,1986,1986,1
855,gnarls barkley,1,2006,2006,1
856,go west,2,1990,1993,4
857,golden earring,2,1974,1983,10
858,goo goo dolls,6,1996,2002,7
859,gordon lightfoot,2,1971,1974,4
860,gorillaz,2,2005,2006,2
861,gotye featuring kimbra,1,2012,2012,1
862,gq,2,1979,1979,1
863,grand funk,1,1975,1975,1
864,grand funk railroad,3,1973,1975,3
865,great white,1,1989,1989,1
866,green day,4,2005,2009,5
867,"green jell""y",1,1993,1993,1
868,greg guidry,1,1982,1982,1
869,gregory abbott,1,1987,1987,1
870,gretchen wilson,1,2004,2004,1
871,groove theory,2,1995,1996,2
872,grover washington jr  bill withers,1,1981,1981,1
873,gunit featuring joe,1,2004,2004,1
874,guns n roses,5,1988,1992,5
875,gwen stefani,3,2005,2007,3
876,gwen stefani featuring akon,1,2007,2007,1
877,gwen stefani featuring eve,1,2005,2005,1
878,gym class heroes featuring adam levine,2,2011,2012,2
879,gym class heroes featuring neon hitch,1,2012,2012,1
880,gym class heroes featuring patrick stump,1,2007,2007,1
881,haddaway,2,1993,1994,2
882,hall  oates,7,1976,1981,6
883,hamilton joe frank  reynolds,2,1971,1975,5
884,hammer,2,1992,1992,1
885,hanson,2,1997,1998,2
886,harold faltermeyer,1,1985,1985,1
887,harold melvin  the blue notes,1,1976,1976,1
888,harry chapin,2,1972,1975,4
889,harry nilsson,3,1969,1972,4
890,havana brown featuring pitbull,1,2012,2012,1
891,heart,8,1977,1990,14
892,heatwave,3,1977,1978,2
893,heavy d,1,1997,1997,1
894,heavy d  the boyz,2,1991,1994,4
895,helen reddy,7,1971,1977,7
896,hellogoodbye,1,2007,2007,1
897,henry gross,1,1976,1976,1
898,henry mancini,1,1969,1969,1
899,herb alpert,4,1968,1987,20
900,herb alpert and the tijuana brass,1,1966,1966,1
901,hermans hermits,7,1965,1967,3
902,hifive,3,1991,1992,2
903,high inergy,1,1978,1978,1
904,hinder,3,2006,2007,2
905,honey cone,1,1971,1971,1
906,hoobastank,1,2004,2004,1
907,hootie  the blowfish,6,1995,1996,2
908,horst jankowski,1,1965,1965,1
909,hot,1,1977,1977,1
910,hot butter,1,1972,1972,1
911,hot chelle rae,1,2011,2011,1
912,hot chocolate,2,1976,1979,4
913,house of pain,1,1992,1992,1
914,houston featuring chingy nate dogg and i20,1,2004,2004,1
915,howard jones,2,1985,1986,2
916,howie day,1,2005,2005,1
917,hozier,1,2015,2015,1
918,htown,1,1993,1993,1
919,huey,1,2007,2007,1
920,huey lewis and the news,10,1982,1988,7
921,hugh masekela,1,1968,1968,1
922,hugo montenegro,1,1968,1968,1
923,hunter hayes,3,2012,2013,2
924,hurricane chris,1,2007,2007,1
925,hurricane smith,1,1973,1973,1
926,ian matthews,1,1979,1979,1
927,ian whitcomb,1,1965,1965,1
928,ice cube,1,1993,1993,1
929,ice cube featuring das efx,1,1993,1993,1
930,ice cube featuring george clinton,1,1994,1994,1
931,icehouse,1,1988,1988,1
932,icona pop featuring charli xcx,1,2013,2013,1
933,idina menzel,1,2014,2014,1
934,iggy azalea featuring charli xcx,1,2014,2014,1
935,iggy azalea featuring rita ora,1,2014,2014,1
936,ike  tina turner,2,1970,1971,2
937,ilovemakonnen featuring drake,1,2015,2015,1
938,ilovememphis,1,2015,2015,1
939,imagine dragons,6,2012,2014,3
940,immature,2,1994,1995,2
941,incubus,1,2001,2001,1
942,information society,1,1988,1988,1
943,ini kamoze,2,1994,1995,2
944,inner circle,2,1993,1993,1
945,inoj,2,1998,1998,1
946,instant funk,1,1979,1979,1
947,inxs,6,1986,1991,6
948,irene cara,3,1980,1984,5
949,isaac hayes,2,1971,1980,10
950,iyaz,2,2009,2010,2
951,j cole,1,2012,2012,1
952,j cole featuring miguel,1,2013,2013,1
953,j holiday,2,2007,2008,2
954,ja rule featuring ashanti,2,2002,2003,2
955,ja rule featuring ashanti charli baltimore and vita,1,2002,2002,1
956,ja rule featuring case,2,2001,2002,2
957,ja rule featuring lil mo and vita,1,2001,2001,1
958,ja rule featuring r kelly and ashanti,1,2005,2005,1
959,jack jones,1,1965,1965,1
960,jack wagner,1,1985,1985,1
961,jackie deshannon,2,1965,1969,5
962,jackie wilson,1,1967,1967,1
963,jackson browne,4,1972,1983,12
964,jadakiss,1,2004,2004,1
965,jade,4,1992,1995,4
966,jagged edge,4,2000,2004,5
967,jagged edge featuring nelly,1,2001,2001,1
968,jaheim,1,2003,2003,1
969,jaheim featuring next,1,2002,2002,1
970,jake owen,2,2011,2014,4
971,james  bobby purify,1,1966,1966,1
972,james blunt,1,2006,2006,1
973,james brown,7,1965,1986,22
974,james ingram,1,1990,1990,1
975,james ingram and michael mcdonald,1,1984,1984,1
976,james newton howard featuring jennifer lawrence,1,2015,2015,1
977,james taylor,4,1970,1977,8
978,jamie foxx featuring ludacris,1,2006,2006,1
979,jamie foxx featuring tpain,1,2009,2009,1
980,jamie walters,1,1995,1995,1
981,jan hammer,1,1985,1985,1
982,jane child,1,1990,1990,1
983,janet,3,1998,2001,4
984,janet jackson,22,1986,2000,15
985,janet jackson featuring blackstreet,1,1998,1998,1
986,janis ian,2,1967,1975,9
987,janis joplin,1,1971,1971,1
988,jann arden,1,1996,1996,1
989,jason aldean,5,2009,2014,6
990,jason aldean featuring kelly clarkson,1,2011,2011,1
991,"jason der""ulo",3,2010,2010,1
992,jason derulo,5,2009,2015,7
993,jason derulo featuring 2 chainz,1,2014,2014,1
994,jason derulo featuring snoop dogg,1,2014,2014,1
995,jason mraz,4,2003,2012,10
996,jay  the techniques,1,1967,1967,1
997,jay and the americans,2,1965,1969,5
998,jay ferguson,1,1978,1978,1
999,jay sean featuring lil wayne,2,2009,2010,2
1000,jay sean featuring sean paul and lil jon,1,2010,2010,1
1001,jay z featuring justin timberlake,1,2013,2013,1
1002,jayz,6,1999,2004,6
1003,jayz and alicia keys,2,2009,2010,2
1004,jayz and kanye west,1,2012,2012,1
1005,jayz and linkin park,1,2005,2005,1
1006,jayz featuring amil and ja rule,1,1999,1999,1
1007,jayz featuring beyonce,1,2003,2003,1
1008,jayz featuring mr hudson,1,2010,2010,1
1009,jayz featuring rihanna and kanye west,1,2009,2009,1
1010,jayz featuring ugk,1,2000,2000,1
1011,jd souther,1,1980,1980,1
1012,jean knight,1,1971,1971,1
1013,jeannie c riley,1,1968,1968,1
1014,jefferson airplane,2,1967,1967,1
1015,jefferson starship,2,1976,1978,3
1016,jennifer lopez,5,1999,2005,7
1017,jennifer lopez featuring ja rule,2,2001,2002,2
1018,jennifer lopez featuring jadakiss and styles p,1,2003,2003,1
1019,jennifer lopez featuring ll cool j,1,2003,2003,1
1020,jennifer lopez featuring nas,1,2002,2002,1
1021,jennifer lopez featuring pitbull,1,2011,2011,1
1022,jennifer paige,1,1998,1998,1
1023,jennifer warnes,1,1977,1977,1
1024,jeremih,1,2009,2009,1
1025,jeremih featuring 50 cent,1,2011,2011,1
1026,jeremih featuring yg,1,2014,2014,1
1027,jeremy jordan,1,1993,1993,1
1028,jermaine dupri featuring da brat and usher,1,1998,1998,1
1029,jermaine jackson,3,1973,1985,13
1030,jermaine stewart,1,1986,1986,1
1031,jerrod niemann,1,2010,2010,1
1032,jerry butler,3,1968,1969,2
1033,jerry butler  brenda lee eager,1,1972,1972,1
1034,jerry reed,2,1971,1971,1
1035,jesse mccartney,2,2005,2008,4
1036,jesse mccartney featuring ludacris,1,2009,2009,1
1037,jesse powell,1,1999,1999,1
1038,jessi colter,1,1975,1975,1
1039,jessica andrews,1,2001,2001,1
1040,jessica simpson,3,2000,2004,5
1041,jessie j,1,2012,2012,1
1042,jessie j ariana grande and nicki minaj,2,2014,2015,2
1043,jessie j featuring bob,1,2011,2011,1
1044,jesus jones,2,1991,1991,1
1045,jet,1,2004,2004,1
1046,jethro tull,1,1975,1975,1
1047,jewel,6,1996,2003,8
1048,jewel akens,1,1965,1965,1
1049,jibbs,1,2006,2006,1
1050,jidenna featuring roman gianarthur,1,2015,2015,1
1051,jim croce,4,1972,1974,3
1052,jim jones,1,2007,2007,1
1053,jim jones featuring ron browz and juelz santana,1,2009,2009,1
1054,jim stafford,3,1974,1974,1
1055,jimmy buffett,1,1977,1977,1
1056,jimmy castor bunch,1,1972,1972,1
1057,jimmy cliff,1,1994,1994,1
1058,jimmy eat world,1,2002,2002,1
1059,jimmy ray,1,1998,1998,1
1060,jimmy ruffin,1,1966,1966,1
1061,jive bunny and the mastermixers,1,1990,1990,1
1062,jkwon,1,2004,2004,1
1063,jo dee messina,2,1999,2000,2
1064,joan baez,1,1971,1971,1
1065,joan jett  the blackhearts,1,1982,1982,1
1066,joan jett and the blackhearts,2,1982,1988,7
1067,joan osborne,1,1996,1996,1
1068,jodeci,4,1992,1995,4
1069,jody watley,4,1987,1990,4
1070,joe,3,1996,2000,5
1071,joe cocker,2,1970,1975,6
1072,joe cocker and jennifer warnes,1,1983,1983,1
1073,joe featuring mystikal,1,2001,2001,1
1074,joe jackson,2,1983,1983,1
1075,joe public,1,1992,1992,1
1076,joe simon,4,1969,1975,7
1077,joe south,2,1969,1970,2
1078,joe tex,3,1965,1977,13
1079,joe walsh,2,1978,1980,3
1080,joey lawrence,1,1993,1993,1
1081,joey mcintyre,1,1999,1999,1
1082,joey scarbury,1,1981,1981,1
1083,john cafferty  the beaver brown band,1,1984,1984,1
1084,john cougar,3,1981,1982,2
1085,john cougar mellencamp,5,1984,1988,5
1086,john denver,6,1971,1975,5
1087,john fred  his playboy band,1,1968,1968,1
1088,john legend,2,2005,2014,10
1089,john legend featuring andre 3000,1,2009,2009,1
1090,john lennon,5,1970,1984,15
1091,john mayer,6,2002,2008,7
1092,john mellencamp,1,1996,1996,1
1093,john mellencamp featuring meshell ndegeocello,1,1994,1994,1
1094,john michael montgomery,1,2004,2004,1
1095,john parr,1,1985,1985,1
1096,john paul young,1,1978,1978,1
1097,john schneider,1,1981,1981,1
1098,john sebastian,1,1976,1976,1
1099,john stewart,1,1979,1979,1
1100,john travolta,1,1976,1976,1
1101,john travolta  olivia newtonjohn,2,1978,1978,1
1102,john waite,1,1984,1984,1
1103,johnnie taylor,2,1973,1976,4
1104,johnny bristol,1,1974,1974,1
1105,johnny cash,1,1969,1969,1
1106,johnny gill,1,1990,1990,1
1107,johnny hates jazz,1,1988,1988,1
1108,johnny maestro  the brooklyn bridge,1,1969,1969,1
1109,johnny mathis  deniece williams,1,1978,1978,1
1110,johnny nash,3,1968,1973,6
1111,johnny rivers,6,1965,1977,13
1112,jojo,2,2004,2006,3
1113,jon b,2,1995,1998,4
1114,jon bon jovi,1,1990,1990,1
1115,jon secada,4,1992,1994,3
1116,jonas brothers featuring big rob,1,2008,2008,1
1117,jonathan edwards,1,1972,1972,1
1118,joni mitchell,1,1974,1974,1
1119,jordan knight,1,1999,1999,1
1120,jordin sparks,3,2008,2009,2
1121,jordin sparks and chris brown,1,2008,2008,1
1122,jose feliciano,1,1968,1968,1
1123,joshua kadison,1,1994,1994,1
1124,journey,6,1981,1997,17
1125,jr walker  the all stars,1,1969,1969,1
1126,jt money featuring sole,1,1999,1999,1
1127,jud strunk,1,1973,1973,1
1128,judy collins,1,1971,1971,1
1129,juelz santana,1,2006,2006,1
1130,juice newton,4,1981,1982,2
1131,julian lennon,2,1985,1985,1
1132,julio iglesias and willie nelson,1,1984,1984,1
1133,junior mafia featuring the notorious big,2,1995,1996,2
1134,junior walker  the all stars,1,1965,1965,1
1135,justin bieber,3,2009,2015,7
1136,justin bieber featuring big sean,1,2012,2012,1
1137,justin bieber featuring ludacris,1,2010,2010,1
1138,justin bieber featuring nicki minaj,1,2013,2013,1
1139,justin timberlake,9,2002,2014,13
1140,justin timberlake featuring jayz,1,2013,2013,1
1141,justin timberlake featuring ti,2,2006,2007,2
1142,justin timberlake featuring timbaland,1,2006,2006,1
1143,juvenile featuring mannie fresh and lil wayne,1,1999,1999,1
1144,juvenile featuring soulja slim,1,2004,2004,1
1145,k p  envyi,1,1998,1998,1
1146,kajagoogoo,1,1983,1983,1
1147,kandi,1,2000,2000,1
1148,kansas,2,1977,1978,2
1149,kanye west,6,2004,2009,6
1150,kanye west big sean pusha t and 2 chainz,1,2012,2012,1
1151,kanye west featuring dwele,1,2008,2008,1
1152,kanye west featuring jamie foxx,2,2005,2006,2
1153,kanye west featuring rihanna,1,2011,2011,1
1154,kanye west featuring syleena johnson,1,2004,2004,1
1155,kanye west featuring tpain,1,2008,2008,1
1156,kardinal offishall featuring akon,1,2008,2008,1
1157,karla bonoff,1,1982,1982,1
1158,karmin,1,2012,2012,1
1159,karyn white,4,1989,1992,4
1160,kathy troccoli,1,1992,1992,1
1161,katrina and the waves,1,1985,1985,1
1162,katy perry,14,2008,2014,7
1163,katy perry featuring juicy j,1,2014,2014,1
1164,katy perry featuring kanye west,1,2011,2011,1
1165,katy perry featuring snoop dogg,1,2010,2010,1
1166,kc  the sunshine band,1,1984,1984,1
1167,kc and the sunshine band,6,1975,1980,6
1168,kci  jojo,3,1998,2001,4
1169,keha,6,2010,2012,3
1170,keha featuring 3oh3,1,2010,2010,1
1171,keith,1,1967,1967,1
1172,keith carradine,1,1976,1976,1
1173,keith sweat,7,1988,1997,10
1174,keith sweat featuring athena cage,1,1996,1996,1
1175,keith urban,1,2004,2004,1
1176,kelis,1,2004,2004,1
1177,kelis featuring too short,1,2006,2006,1
1178,kelly clarkson,17,2002,2015,14
1179,kelly price featuring r kelly and ron isley,1,1998,1998,1
1180,kelly rowland featuring lil wayne,1,2011,2011,1
1181,kendrick lamar,1,2013,2013,1
1182,kenny chesney,7,1999,2014,16
1183,kenny chesney featuring grace potter,1,2011,2011,1
1184,kenny chesney featuring uncle kracker,1,2004,2004,1
1185,kenny g,2,1987,1993,7
1186,kenny loggins,5,1980,1987,8
1187,kenny loggins  stevie nicks,1,1978,1978,1
1188,kenny nolan,2,1977,1977,1
1189,kenny rogers,9,1977,1982,6
1190,kenny rogers  kim carnes,1,1980,1980,1
1191,kenny rogers  the first edition,2,1969,1970,2
1192,kenny rogers and dolly parton,1,1984,1984,1
1193,kenny rogers and sheena easton,1,1983,1983,1
1194,keri hilson,1,2011,2011,1
1195,keri hilson featuring kanye west and neyo,1,2009,2009,1
1196,keri hilson featuring lil wayne,1,2009,2009,1
1197,kesha,1,2013,2013,1
1198,kevin lyttle,1,2004,2004,1
1199,kevin rudolf featuring birdman jay sean and lil wayne,1,2010,2010,1
1200,kevin rudolf featuring lil wayne,2,2008,2009,2
1201,kevon edmonds,1,2000,2000,1
1202,keyshia cole,3,2006,2008,3
1203,keyshia cole featuring missy elliott and lil kim,1,2007,2007,1
1204,kid cudi,1,2009,2009,1
1205,kid ink featuring chris brown,1,2014,2014,1
1206,kid rock,2,2000,2008,9
1207,kid rock featuring sheryl crow,1,2003,2003,1
1208,kim carnes,2,1980,1981,2
1209,kim wilde,2,1982,1987,6
1210,king floyd,1,1971,1971,1
1211,king harvest,1,1973,1973,1
1212,kings of leon,2,2009,2010,2
1213,kip moore,1,2012,2012,1
1214,kirko bangz,1,2012,2012,1
1215,kiss,3,1976,1990,15
1216,klymaxx,1,1986,1986,1
1217,kongos,1,2014,2014,1
1218,kool  the gang,13,1974,1987,14
1219,kris kristofferson,1,1973,1973,1
1220,kris kross,4,1992,1996,5
1221,kristinia debarge,1,2009,2009,1
1222,kt tunstall,1,2006,2006,1
1223,kws,1,1992,1992,1
1224,kylie minogue,2,1988,2002,15
1225,kyper,1,1990,1990,1
1226,la bouche,2,1996,1996,1
1227,la roux,1,2010,2010,1
1228,labelle,1,1975,1975,1
1229,lady antebellum,6,2009,2014,6
1230,lady gaga,10,2009,2013,5
1231,lady gaga featuring beyonce,1,2010,2010,1
1232,lady gaga featuring colby odonis,1,2009,2009,1
1233,lady gaga featuring r kelly,1,2014,2014,1
1234,lamont dozier,1,1974,1974,1
1235,lana del rey and cedric gervais,1,2013,2013,1
1236,larry groce,1,1976,1976,1
1237,laura branigan,5,1982,1984,3
1238,lauryn hill,2,1999,1999,1
1239,leann rimes,5,1997,2002,6
1240,leblanc  carr,1,1978,1978,1
1241,lee ann womack,2,2000,2001,2
1242,lee brice,2,2012,2014,3
1243,lee dorsey,1,1966,1966,1
1244,lee michaels,1,1971,1971,1
1245,leif garrett,1,1979,1979,1
1246,len,1,1999,1999,1
1247,lenny kravitz,3,1991,2001,11
1248,leo sayer,5,1975,1981,7
